,Source,Learning_scenario,Metric,NHiTS,Transformer,TSMixer,iTransformer,TimeGPT
24,Bavaria,Zero-Shot,MAE,2.295468411672268,2.088263708778012,2.0672110218888444,1.0034102201461792,0.037434005788688
25,Bavaria,Zero-Shot,MSE,9.311762102343264,7.904744014007735,8.562086879444296,2.4932823181152344,0.08251036896274
26,Bavaria,four_weeks_tl,MAE,0.6637204792316479,0.6812568822879024,0.5295844911112428,0.4569463431835174,
27,Bavaria,four_weeks_tl,MSE,1.0353018961833207,1.070691068113613,0.8620052367612256,0.60429447889328,
28,Bavaria,full_tl,MAE,0.6506097389204628,0.6582395827905833,0.4068436911925537,0.3635360300540924,
29,Bavaria,full_tl,MSE,0.9754407521902534,1.0247578687688723,0.7103161193444044,0.4677992463111877,
30,ELD,Zero-Shot,MAE,0.6084943567377122,0.6556450254956373,0.7074874445006006,0.5251405835151672,0.037434005788688
31,ELD,Zero-Shot,MSE,0.92745635006066,0.986888309828324,1.369672068730133,0.8662102222442627,0.08251036896274
32,ELD,four_weeks_tl,MAE,0.6640277484762167,0.6561573499735356,0.527018224081566,0.3804217576980591,
33,ELD,four_weeks_tl,MSE,1.0352744302104553,0.98744614501322,0.8183284128932674,0.5082235336303711,
34,ELD,full_tl,MAE,0.648403959147891,0.6491534539942767,0.3910483717918396,0.3469045460224151,
35,ELD,full_tl,MSE,0.9760734104914028,0.9759962872024864,0.5775454911170101,0.4514532387256622,
8,GP2,four_weeks_training,MAE,0.644065335038811,0.6644420137244125,0.5129070142505374,0.4278978705406189,
9,GP2,four_weeks_training,MSE,0.9689451829824848,1.042320596942954,0.8523807744112486,0.5868185758590698,
10,GP2,full_training,MAE,0.5805038961784496,0.6493981196740863,0.4003958268945788,0.3601045906543731,
11,GP2,full_training,MSE,0.8550407580854252,0.9756253978996868,0.5958517462396534,0.4778215587139129,
