,NHiTS,Transformer,TSMixer,iTransformer
Zero-Shot,258803.85236060497,5.076153085783957,5.956120631822321,1.6363725364208221
Short-TL,89.43100538931711,1.0011761268275787,0.7430752052292868,0.4178164154291153
Full-TL,0.6633464080120752,0.9618974570770293,0.43270961511113243,0.3277007602155208
Short training,2.1234195687833313,1.001085688934508,0.7665720626879471,0.42572857439517975
Full training,0.669843983067903,0.9615021402642865,0.4506508533725457,0.3299224451184273
Overall mean MSE,51779.34799519084,1.8003628997774719,1.6698256736446466,0.6275081463158131
Jumpstart Zero-Shot [%],-99.99917952551733,-80.27865448467062,-87.12967533611877,-73.98339528929272
Jumpstart TL [%],-97.62563379496908,-0.009033165159200163,3.1621102808039314,1.893692701838523
Asymptotic [%],0.9795146212217887,-0.041097604514328534,4.146253661778565,0.6779614735850314
