Setup,Learning_scenario,Metric,iTransformer
ELD_to_Bavaria,Zero-Shot,MSE,0.1950434446334839
ELD_to_Bavaria,Zero-Shot,MAE,0.3984672725200653
ELD_to_Bavaria,four_weeks_tl,MSE,0.000836993451230228
ELD_to_Bavaria,four_weeks_tl,MAE,0.02155626378953457
ELD_to_Bavaria,full_tl,MSE,0.00025520482449792325
ELD_to_Bavaria,full_tl,MAE,0.00905181560665369
ELD_to_Bavaria,full_training,MSE,
ELD_to_Bavaria,full_training,MAE,
ELD_to_Bavaria,four_weeks_training,MSE,
ELD_to_Bavaria,four_weeks_training,MAE,
ELD_to_GP2,Zero-Shot,MSE,0.8662102222442627
ELD_to_GP2,Zero-Shot,MAE,0.5251405835151672
ELD_to_GP2,four_weeks_tl,MSE,0.5082235336303711
ELD_to_GP2,four_weeks_tl,MAE,0.3804217576980591
ELD_to_GP2,full_tl,MSE,0.45145323872566223
ELD_to_GP2,full_tl,MAE,0.34690454602241516
ELD_to_GP2,full_training,MSE,
ELD_to_GP2,full_training,MAE,
ELD_to_GP2,four_weeks_training,MSE,
ELD_to_GP2,four_weeks_training,MAE,
Bavaria_to_ELD,Zero-Shot,MSE,2.735579013824463
Bavaria_to_ELD,Zero-Shot,MAE,1.173638939857483
Bavaria_to_ELD,four_weeks_tl,MSE,0.3372935652732849
Bavaria_to_ELD,four_weeks_tl,MAE,0.40591493248939514
Bavaria_to_ELD,full_tl,MSE,0.21105921268463135
Bavaria_to_ELD,full_tl,MAE,0.301229864358902
Bavaria_to_ELD,full_training,MSE,
Bavaria_to_ELD,full_training,MAE,
Bavaria_to_ELD,four_weeks_training,MSE,
Bavaria_to_ELD,four_weeks_training,MAE,
Bavaria_to_GP2,Zero-Shot,MSE,2.4932823181152344
Bavaria_to_GP2,Zero-Shot,MAE,1.0034102201461792
Bavaria_to_GP2,four_weeks_tl,MSE,0.60429447889328
Bavaria_to_GP2,four_weeks_tl,MAE,0.45694634318351746
Bavaria_to_GP2,full_tl,MSE,0.46779924631118774
Bavaria_to_GP2,full_tl,MAE,0.3635360300540924
Bavaria_to_GP2,full_training,MSE,
Bavaria_to_GP2,full_training,MAE,
Bavaria_to_GP2,four_weeks_training,MSE,
Bavaria_to_GP2,four_weeks_training,MAE,
GP2_to_Bavaria,Zero-Shot,MSE,0.2329590916633606
GP2_to_Bavaria,Zero-Shot,MAE,0.43502387404441833
GP2_to_Bavaria,four_weeks_tl,MSE,0.00042287237010896206
GP2_to_Bavaria,four_weeks_tl,MAE,0.013992472551763058
GP2_to_Bavaria,full_tl,MSE,0.0003090642567258328
GP2_to_Bavaria,full_tl,MAE,0.010997571051120758
GP2_to_Bavaria,full_training,MSE,
GP2_to_Bavaria,full_training,MAE,
GP2_to_Bavaria,four_weeks_training,MSE,
GP2_to_Bavaria,four_weeks_training,MAE,
GP2_to_ELD,Zero-Shot,MSE,0.4504185914993286
GP2_to_ELD,Zero-Shot,MAE,0.45131874084472656
GP2_to_ELD,four_weeks_tl,MSE,0.22145408391952515
GP2_to_ELD,four_weeks_tl,MAE,0.3004574477672577
GP2_to_ELD,full_tl,MSE,0.1804913431406021
GP2_to_ELD,full_tl,MAE,0.26572874188423157
GP2_to_ELD,full_training,MSE,
GP2_to_ELD,full_training,MAE,
GP2_to_ELD,four_weeks_training,MSE,
GP2_to_ELD,four_weeks_training,MAE,
